CENTRO,PLAN,NOTA_FUERA,NOTA_UAM,DIFERENCIA
Facultad de Ciencias,Máster en Calidad de Aguas Continentales (2010),8.72857142857143,8.75,-0.021428571428570464
Facultad de Ciencias Económicas y Empresariales,Graduado/a en Administración y Dirección de Empresas (2018),5.5200000000000005,6.875862068965517,-1.355862068965517
Facultad de Psicología,Graduado/a en Psicología (2013),5.75,7.412121212121212,-1.662121212121212
Facultad de Filosofía y Letras,"Graduado/a en estudios de Asia y África: Árabe, Chino y Japonés",8.4,7.088235294117647,1.3117647058823536
Facultad de Filosofía y Letras,Graduado/a en Antropología Social y Cultural,10.0,7.412121212121212,2.587878787878788
Facultad de Filosofía y Letras,Graduado/a en Estudios Internacionales,7.529999999999999,8.037931034482758,-0.507931034482759
Facultad de Derecho,Graduado/a en Derecho y en Ciencia Política y Administración Pública,6.8375,6.973809523809523,-0.13630952380952266
Escuela Politécnica Superior,Graduado/a en Ingeniería Informática,8.785714285714286,7.053333333333333,1.7323809523809537
Facultad de Derecho,Graduado/a en Derecho y en Ciencia Política y Administración Pública (2019),8.959999999999999,8.266666666666666,0.6933333333333334
Facultad de Derecho,Graduado/a en Derecho y en Administración y Dirección de Empresas,6.9,6.595833333333334,0.30416666666666625
Facultad de Ciencias,Graduado/a en Física,8.690000000000001,7.853571428571429,0.8364285714285726
Facultad de Ciencias Económicas y Empresariales,Graduado/a en Economía,7.199999999999999,6.5,0.6999999999999993
Facultad de Derecho,Graduado/a en Derecho y en Administración y Dirección de Empresas,9.2375,9.036734693877552,0.2007653061224488
Facultad de Psicología,Graduado/a en Psicología (2013),8.3875,7.663333333333333,0.7241666666666662
Facultad de Ciencias,Graduado/a en Nutrición Humana y Dietética,8.85,7.344827586206897,1.5051724137931028
Facultad de Derecho,Graduado/a en Derecho y en Ciencia Política y Administración Pública,7.475,6.728260869565218,0.7467391304347819
Facultad de Ciencias Económicas y Empresariales,Graduado/a en Turismo,6.56,7.0249999999999995,-0.46499999999999986
Facultad de Derecho,Graduado/a en Ciencia Política y Administración Pública,8.8,8.055172413793104,0.7448275862068972
Facultad de Filosofía y Letras,Graduado/a en Estudios Hispánicos: lengua española y sus literaturas,8.222222222222221,7.735483870967743,0.48673835125447873
Facultad de Filosofía y Letras,Graduado/a en Filosofía,9.425,7.539999999999999,1.8850000000000016
Facultad de Derecho,Graduado/a en Derecho y en Administración y Dirección de Empresas (2019),9.120000000000001,7.584848484848485,1.535151515151516
Facultad de Derecho,Graduado/a en Derecho,9.25,5.780555555555555,3.469444444444445
Facultad de Derecho,Graduado/a en Derecho (2016),6.111764705882353,7.05,-0.9382352941176464
Facultad de Medicina,Graduado/a en Medicina (2014),7.361538461538462,6.872916666666666,0.48862179487179613
Facultad de Filosofía y Letras,Graduado/a en Traducción e interpretación,6.2,6.916666666666667,-0.7166666666666668
Facultad de Filosofía y Letras,Graduado/a en Historia del Arte,7.815789473684211,7.0894736842105255,0.7263157894736851
Facultad de Ciencias Económicas y Empresariales,Graduado/a en Administración y Dirección de Empresas,7.17,8.24074074074074,-1.0707407407407405
Facultad de Ciencias Económicas y Empresariales,Graduado/a en Administración y Dirección de Empresas,7.275,6.943333333333333,0.331666666666667
Facultad de Derecho,Graduado/a en Derecho y en Administración y Dirección de Empresas,8.75,7.772549019607843,0.9774509803921569
Facultad de Filosofía y Letras,"Graduado/a en estudios de Asia y África: Árabe, Chino y Japonés",8.33,7.973333333333333,0.35666666666666735
Facultad de Formación de Profesorado y de la Educación,Graduado/a en Maestro/a en Educación Infantil y en Maestro/a en Educación Primaria,8.059999999999999,8.623529411764705,-0.5635294117647067
Facultad de Psicología,Graduado/a en Psicología (2013),7.0,7.78125,-0.78125
Facultad de Derecho,Graduado/a en Derecho,8.528571428571428,5.95625,2.5723214285714286
Facultad de Formación de Profesorado y de la Educación,Graduado/a en Maestro/a en Educación Primaria,10.0,7.617857142857143,2.382142857142857
Facultad de Filosofía y Letras,Graduado/a en Estudios Ingleses,8.833333333333334,6.491666666666666,2.3416666666666677
Facultad de Filosofía y Letras,"Graduado/a en estudios de Asia y África: Árabe, Chino y Japonés",8.82,8.266666666666667,0.5533333333333328
Facultad de Filosofía y Letras,Graduado/a en Historia y Ciencias de la Música,8.0,8.139999999999999,-0.1399999999999988
Facultad de Ciencias Económicas y Empresariales,Graduado/a en Administración y Dirección de Empresas (2018),8.040000000000001,6.475862068965518,1.564137931034483
Facultad de Medicina,Máster en Investigación Farmacológica (2018),8.0,7.699999999999999,0.3000000000000007
Facultad de Ciencias,Máster en Calidad de Aguas Continentales,9.214285714285714,8.866666666666667,0.3476190476190464
Facultad de Filosofía y Letras,"Graduado/a en estudios de Asia y África: Árabe, Chino y Japonés",8.618181818181817,8.072413793103449,0.5457680250783685
